Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance,Field,Resistance
Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm,Oe,Ohm
,10 K,,50 K,,100 K,,150 K,,150 K,,160 K,,170 K,,180 K,,190 K,,200 K
-25000.12109375,-22.13439,-25000.353515625,-33.32931,-25000.21875,-47.12133,-25000.408203125,-64.52663,-25000.353515625,-65.67688,-25000.330078125,-70.01559,-25000.185546875,-74.74709,-25000.353515625,-78.79615,-25000.353515625,-84.01054,-25000.3203125,-87.41756
-25000.087890625,-22.13804,-25000.30859375,-33.34474,-25000.197265625,-47.13789,-25000.408203125,-64.55432,-25000.396484375,-65.69762,-25000.3203125,-70.02227,-25000.20703125,-74.7556,-25000.353515625,-78.82829,-25000.36328125,-84.08556,-25000.330078125,-87.49267
-25000.06640625,-22.14268,-25000.298828125,-33.34769,-25000.17578125,-47.15555,-25000.384765625,-64.55572,-25000.341796875,-65.72682,-25000.375,-70.06045,-25000.185546875,-74.79935,-25000.375,-78.91743,-25000.330078125,-84.18697,-25000.353515625,-87.24125
-24000.125,-22.12822,-24000.380859375,-33.29639,-24000.390625,-47.25806,-24000.13671875,-65.03191,-24000.1796875,-65.71439,-24000.34765625,-70.32732,-24000.1484375,-75.01237,-24000.1796875,-79.15836,-24000.423828125,-84.50846,-24000.423828125,-87.71619
-24000.13671875,-22.13624,-24000.390625,-33.29838,-24000.357421875,-47.28091,-24000.158203125,-65.09389,-24000.09375,-65.72319,-24000.369140625,-70.36757,-24000.1484375,-75.02813,-24000.13671875,-79.20589,-24000.40234375,-84.60528,-24000.40234375,-87.65464
-24000.13671875,-22.13983,-24000.40234375,-33.30625,-24000.380859375,-47.29177,-24000.158203125,-65.11601,-24000.169921875,-65.73535,-24000.369140625,-70.42159,-24000.115234375,-75.04262,-24000.13671875,-79.2506,-24000.423828125,-84.69806,-24000.412109375,-87.57022
-24000.19140625,-22.14342,-24000.390625,-33.32059,-24000.390625,-47.29772,-24000.13671875,-65.13983,-24000.1484375,-65.75751,-24000.40234375,-70.44232,-24000.125,-75.0573,-24000.09375,-79.29826,-24000.412109375,-84.74607,-24000.412109375,-87.54675
-23000.31640625,-22.14185,-23000.142578125,-33.33131,-23000.185546875,-47.41077,-23000.21875,-65.44705,-23000.20703125,-65.79496,-23000.17578125,-70.67338,-23000.31640625,-75.19958,-23000.328125,-79.57736,-23000.1640625,-85.01731,-23000.15234375,-87.80683
-23000.33984375,-22.14521,-23000.17578125,-33.34729,-23000.185546875,-47.43428,-23000.185546875,-65.47899,-23000.185546875,-65.82229,-23000.1640625,-70.71223,-23000.31640625,-75.23366,-23000.353515625,-79.60897,-23000.130859375,-85.00339,-23000.15234375,-87.74414
-23000.328125,-22.15209,-23000.142578125,-33.34799,-23000.15234375,-47.44937,-23000.20703125,-65.48861,-23000.1640625,-65.82963,-23000.15234375,-70.73333,-23000.328125,-75.27564,-23000.328125,-79.56145,-23000.142578125,-84.98772,-23000.185546875,-87.84351
-23000.328125,-22.15566,-23000.15234375,-33.35672,-23000.185546875,-47.46622,-23000.197265625,-65.49321,-23000.1640625,-65.84078,-23000.15234375,-70.79686,-23000.31640625,-75.25564,-23000.33984375,-79.66372,-23000.1640625,-84.96726,-23000.185546875,-87.90845
-22000.3671875,-22.15487,-22000.3359375,-33.37951,-22000.357421875,-47.49289,-22000.412109375,-65.69915,-22000.3671875,-65.88286,-22000.37890625,-70.93021,-22000.412109375,-75.48802,-22000.3671875,-79.81303,-22000.390625,-85.35179,-22000.3671875,-88.40366
-22000.390625,-22.16452,-22000.3671875,-33.3884,-22000.3125,-47.50083,-22000.412109375,-65.71263,-22000.400390625,-65.88425,-22000.345703125,-70.95262,-22000.37890625,-75.50981,-22000.3671875,-79.86455,-22000.357421875,-85.38443,-22000.3125,-88.47397
-22000.3671875,-22.16663,-22000.3125,-33.38359,-22000.32421875,-47.51771,-22000.412109375,-65.71858,-22000.390625,-65.91195,-22000.345703125,-70.97075,-22000.412109375,-75.50622,-22000.3671875,-79.86832,-22000.3671875,-85.46513,-22000.3671875,-88.4743
-22000.400390625,-22.17661,-22000.357421875,-33.38897,-22000.3125,-47.52551,-22000.412109375,-65.72316,-22000.3671875,-65.93188,-22000.357421875,-70.95852,-22000.412109375,-75.55152,-22000.3671875,-79.8807,-22000.357421875,-85.5773,-22000.345703125,-88.56436
-21000.384765625,-22.12285,-21000.373046875,-33.40808,-21000.384765625,-47.54434,-21000.12109375,-65.81908,-21000.26171875,-66.0234,-21000.40625,-71.18718,-21000.2734375,-75.74259,-21000.15234375,-80.06538,-21000.251953125,-85.75169,-21000.40625,-88.79741
-21000.427734375,-22.12984,-21000.373046875,-33.41563,-21000.39453125,-47.55799,-21000.142578125,-65.85878,-21000.30859375,-66.04543,-21000.36328125,-71.25709,-21000.318359375,-75.76508,-21000.17578125,-80.14273,-21000.251953125,-85.79366,-21000.41796875,-88.89471
-21000.40625,-22.13389,-21000.36328125,-33.41462,-21000.330078125,-47.57626,-21000.130859375,-65.88094,-21000.2734375,-66.04952,-21000.40625,-71.29908,-21000.318359375,-75.75289,-21000.15234375,-80.1544,-21000.26171875,-85.74873,-21000.41796875,-88.96786
